模型,检查点,层类型/阶段,算子名称,执行阶段,数据精度,测量类型,算子规模/shape,latency_us,TFLOPS/带宽,sglang入口/调度,底层Kernel/库,后端/实现,测试来源/状态,备注/缺口/发现
Kimi-K2.7,moonshotai/Kimi-K2.7,input,Token Embedding,Prefill,BF16,reference,"ids[16384] -> [16384,7168] vocab=163840",242.29,,embed_tokens,torch.nn.Embedding,torch.nn.Embedding,microbench (kernel-harness),[=ref] | 备选:无 Triton 路径
Kimi-K2.7,moonshotai/Kimi-K2.7,input,Token Embedding,Decode,BF16,reference,"ids[16] -> [16,7168] vocab=163840",55.41,,embed_tokens,torch.nn.Embedding,torch.nn.Embedding,microbench (kernel-harness),[=ref] | 备选:无 Triton 路径
Kimi-K2.7,moonshotai/Kimi-K2.7,all_layers,Input RMSNorm,Prefill,BF16,reference,"[16384,7168]",167.75,,input_layernorm,sgl_kernel.rmsnorm,sgl_kernel.rmsnorm,microbench (kernel-harness),[=ref] | 备选:无 Triton 路径
Kimi-K2.7,moonshotai/Kimi-K2.7,all_layers,Input RMSNorm,Decode,BF16,reference,"[16,7168]",49.41,,input_layernorm,sgl_kernel.rmsnorm,sgl_kernel.rmsnorm,microbench (kernel-harness),[=ref] | 备选:无 Triton 路径
Kimi-K2.7,moonshotai/Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,reference,"[16384,7168]×[7168,4608]",1044.69,1036.04,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,deep_gemm w8a8_block_fp8 (blackwell path),microbench (kernel-harness),[=ref] | 备选:备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16
Kimi-K2.7,moonshotai/Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,"[512,7168]x[7168,4608] aligned(7168,4608)",61.77,547.59,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,deep_gemm w8a8_block_fp8 (blackwell path),microbench (kernel-harness),[prefill_M=512] sweep op=Dense GateUp (fp8)
Kimi-K2.7,moonshotai/Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,"[1024,7168]x[7168,4608] aligned(7168,4608)",72.0,939.49,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,deep_gemm w8a8_block_fp8 (blackwell path),microbench (kernel-harness),[prefill_M=1024] sweep op=Dense GateUp (fp8)
Kimi-K2.7,moonshotai/Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,"[2048,7168]x[7168,4608] aligned(7168,4608)",149.28,906.27,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,deep_gemm w8a8_block_fp8 (blackwell path),microbench (kernel-harness),[prefill_M=2048] sweep op=Dense GateUp (fp8)
Kimi-K2.7,moonshotai/Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,"[4096,7168]x[7168,4608] aligned(7168,4608)",247.47,1093.38,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,deep_gemm w8a8_block_fp8 (blackwell path),microbench (kernel-harness),[prefill_M=4096] sweep op=Dense GateUp (fp8)
Kimi-K2.7,moonshotai/Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,"[8192,7168]x[7168,4608] aligned(7168,4608)",435.06,1243.88,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,deep_gemm w8a8_block_fp8 (blackwell path),microbench (kernel-harness),[prefill_M=8192] sweep op=Dense GateUp (fp8)
Kimi-K2.7,moonshotai/Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,"[16384,7168]x[7168,4608] aligned(7168,4608)",889.93,1216.2,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,deep_gemm w8a8_block_fp8 (blackwell path),microbench (kernel-harness),[prefill_M=16384] sweep op=Dense GateUp (fp8)
Kimi-K2.7,moonshotai/Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,"[32768,7168]x[7168,4608] aligned(7168,4608)",1780.79,1215.56,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,deep_gemm w8a8_block_fp8 (blackwell path),microbench (kernel-harness),[prefill_M=32768] sweep op=Dense GateUp (fp8)
Kimi-K2.7,moonshotai/Kimi-K2.7,dense_ffn,Dense FFN Down,Prefill,FP8 W8A8,reference,"[16384,2304]×[2304,7168]",451.28,1199.19,mlp.down_proj,deep_gemm w8a8_block_fp8,deep_gemm w8a8_block_fp8 (blackwell path),microbench (kernel-harness),[=ref] | 备选:备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16
Kimi-K2.7,moonshotai/Kimi-K2.7,dense_ffn,Dense FFN GateUp,Decode,FP8 W8A8,reference,"[16,7168]×[7168,4608]",56.5,18.71,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,deep_gemm w8a8_block_fp8 (blackwell path),microbench (kernel-harness),[=ref] | 备选:备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16
Kimi-K2.7,moonshotai/Kimi-K2.7,dense_ffn,Dense FFN Down,Decode,FP8 W8A8,reference,"[16,2304]×[2304,7168]",52.92,9.99,mlp.down_proj,deep_gemm w8a8_block_fp8,deep_gemm w8a8_block_fp8 (blackwell path),microbench (kernel-harness),[=ref] | 备选:备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16
Kimi-K2.7,moonshotai/Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,reference,"[16384,7168]×[7168,2112]",436.81,1170.07,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,deep_gemm w8a8_block_fp8 (blackwell path),microbench (kernel-harness),[=ref] B200 补测 deep_gemm fp8_gemm_nt || sweep prefill_M[512..32768]: 58–878us (见kimi_k27_sweeps.csv) | 备选:备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS
Kimi-K2.7,moonshotai/Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,sweep,"[512,7168]x[7168,2112] aligned(7168,2176)",58.42,273.4,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,deep_gemm w8a8_block_fp8 (blackwell path),microbench (kernel-harness),[prefill_M=512] sweep op=Q_a fused (fp8)
