MiniMax-M3 · B200 实际算子后端 + 测试/性能清单
配置来源: HF MiniMaxAI/MiniMax-M3 text_config; 测试环境: B200 + harness venv + amd_add_m3 worktree@e28a0c81; 性能来自 test/registered/jit/benchmark/minimax/
模型,检查点,算子名称,算子所处阶段,执行阶段,输入规模,输出规模,数据精度,B200实际后端,Python调度路径,底层Kernel/库,CI验证来源,本机测试结果(B200),实测延迟,实测带宽/吞吐,缺口/备注
MiniMax-M3,MiniMaxAI/MiniMax-M3,[op28] Main Q/K/V 投影 (per-head GQA),每层主注意力,Prefill+Decode,"q [M,64,128]; kv [M,4,128]","q/k/v [M,64/4,128]",BF16 (MXFP8检查点为MXFP8),标准 Linear → cuBLAS BF16 GEMM (MXFP8检查点走 deep_gemm/flashinfer MoE backend),python/sglang/srt/layers/linear.py:143 (LinearBase),cuBLAS GEMM,—,"NO-OP-KERNEL (M3主QKV走标准Linear,无M3专属kernel)",n/a,n/a,"M3非MLA,per-head GQA(num_q_heads%num_kv_heads==0)"
MiniMax-M3,MiniMaxAI/MiniMax-M3,[op29/35] Indexer Q投影 + 融合 Gemma-RMSNorm + 局部RoPE,每层稀疏indexer前,Prefill+Decode,"q [T,64,128]+k[T,4,128]+idx_q[T,4,128]+idx_k[T,1,128]","原位norm+rope,同形状",BF16 (cos|sin cache需FP32),"JIT CUDA fused_gemma_qknorm_rope (单launch, [q|k|idx_q|idx_k]分组)","python/sglang/jit_kernel/minimax_qknorm_rope.py:51,152; csrc/minimax/fused_gemma_qknorm_rope.cuh","JIT CUDA (load_jit, 不在sgl_kernel wheel)",test/registered/jit/minimax/test_minimax_qknorm_rope.py; test/registered/jit/minimax/test_minimax_m3_cuda_config.py,"PASS (79 + 新增M3(64,4,4)grouped 1case)",fused 1.64-192.7us (T=1..8192),峰值1372.8 GB/s @T=1024; combined_one_launch比two_launches快2.4x,"rotary_dim=64,partial_rotary=0.5; 现有grid未覆盖(64,4,4),已补"
MiniMax-M3,MiniMaxAI/MiniMax-M3,[op30] Indexer K/V cache 融合写入 (store_kv_index),稀疏层KV cache写入,Prefill+Decode,"k/v [T,4*128]; idx_k [T,128]; idx_v [T,128]","k_cache/v_cache [N,4*128]; idx_k/v_cache [N,128]",BF16 (uniform dtype),JIT CUDA store_kv_index (单launch写主K/V+idx K[+idx V]),python/sglang/jit_kernel/minimax_store_kv_index.py:31; csrc/minimax/fused_store_kv_index.cuh,JIT CUDA,test/registered/jit/minimax/test_minimax_store_kv_index.py; test_minimax_m3_cuda_config.py,PASS (96 + 新增M3 shape 1case),fused 1.41-4.89us (T=16..16384),峰值4815.5 GB/s @T=16384; 比separate快~12x,SGLANG_OPT_USE_MINIMAX_FUSED_KV_INDEX_STORE默认True; 需CUDA+16B对齐
MiniMax-M3,MiniMaxAI/MiniMax-M3,[op31] Prefill Indexer Score + topk (单launch),稀疏层prefill score,Prefill,"idx_q [total_q,4,128] × idx_k_cache [slots,1,128]","score [4,total_q,num_blocks]; topk_idx [4,total_q,topk]",BF16计算→FP32 score,Triton autotune _flash_attn_fwd_with_block_score_kernel (score max/lse + 内联topk),"python/sglang/srt/layers/attention/minimax_sparse_ops/prefill/flash_with_topk_idx.py:62,417,491","Triton (JIT, on-device)",test/registered/jit/minimax/test_minimax_m3_cuda_config.py::test_m3_prefill_score_topk (NEW),"PASS (新写, 1case; B=2,L=256,topk=8)",n/a (无prefill bench脚本),n/a,★缺口1: 测试用退化shape(长度1-per-seq)经decode等价做oracle; 真实多token prefill未压; autotune慢
MiniMax-M3,MiniMaxAI/MiniMax-M3,[op32] Decode Indexer Score + topk,稀疏层decode score,Decode,"score [4,batch,max_seqblock] → topk_idx [4,batch,topk]","topk_idx [4,batch,topk] int32",FP32 score,JIT CUDA minimax_decode_topk (radix单stage); 回落Triton _topk_index_partial+merge (2stage),python/sglang/jit_kernel/minimax_decode_topk.py:43; csrc/minimax/minimax_decode_topk.cuh:270,JIT CUDA radix / Triton 2stage,test/registered/jit/minimax/test_minimax_decode_topk.py; test_minimax_decode_topk_page_table.py; test_minimax_m3_cuda_config.py,"PASS (118 radix + 30 page_table + 新增topk∈{4,8,16,32}×ctx∈{512,2048} 8case)","JIT radix 2.25-7.50us (ctx=4096..524288, b=1..256)","JIT比Triton 2stage快2-30x (ctx=524288,b=256: 7.5us vs 239us)","SGLANG_OPT_USE_MINIMAX_DECODE_TOPK_RADIX默认True+shape门控(topk≤32); 新增topk=4补现有grid{16,32,64}缺口"
MiniMax-M3,MiniMaxAI/MiniMax-M3,"[op33] Prefill 主稀疏注意力 (GQA share, topk block)",稀疏层prefill主attn,Prefill,"q [total_q,64,128] × k_cache [slots,4,128] under topk_idx","o [total_q,64,128]",BF16,"Triton _gqa_share_sparse_fwd_kernel; B200生产路径=msa_sparse_prefill_main(fmha_sm100,SM100)","python/sglang/srt/layers/attention/minimax_sparse_ops/prefill/topk_sparse.py:258; msa.py:92,142",Triton / fmha_sm100 (外部),"test/registered/jit/minimax/test_minimax_m3_cuda_config.py::test_m3_prefill_main_sparse (NEW, Triton路径)","PASS (Triton路径, 1case; B=2,L=256,topk=8)",n/a (无prefill bench),n/a,"★缺口2: B200生产fast path=msa_sparse_prefill_main需fmha_sm100 package,本机未装(msa_available()=False); 测试只覆盖Triton回落"
MiniMax-M3,MiniMaxAI/MiniMax-M3,"[op34] Decode 主稀疏注意力 (GQA share, topk block)",稀疏层decode主attn,Decode,"q [batch,64,128] × k_cache [slots,4,128] under topk_idx","o [batch,64,128]",BF16,"Triton flash_decode_with_gqa_share_sparse; B200生产=msa_sparse_decode_main(fmha_sm100,eager非cuda-graph)","python/sglang/srt/layers/attention/minimax_sparse_ops/decode/topk_sparse.py:299; msa.py:316,362",Triton / fmha_sm100 (外部),minimax_sparse_ops/tests/test_sparse_gqa.py,"PASS (20 case, Triton路径, 77s)",n/a,n/a,★缺口2同op33: msa decode非cuda-graph safe(msa.py:194-209); fmha_sm100未装故未测生产路径
MiniMax-M3,MiniMaxAI/MiniMax-M3,"[op36] Gemma-RMSNorm (独立, Triton)",norm层,Prefill+Decode,"[*,6144] fp32","[*,6144]",BF16→FP32,ROCm gfx94x/gfx95x Triton _gemma_rmsnorm_kernel (CUDA走sgl_kernel.gemma_rmsnorm C++),"python/sglang/jit_kernel/minimax_m3/rmsnorm.py:19,96",Triton (ROCm) / sgl_kernel C++ (CUDA),python/sglang/jit_kernel/tests/test_minimax_m3_rmsnorm.py,"SKIP (B200上1 skipped, ROCm gfx95专属)",n/a,n/a,layernorm.py:88-91用sgl_kernel.gemma_rmsnorm(C++)非此Triton; 两个不同实现
MiniMax-M3,MiniMaxAI/MiniMax-M3-MXFP8,[op37] MoE Router + TopK (sigmoid),MoE层router,Prefill+Decode,"[M,6144]×[6144,128_experts]","logits [M,128]; topk_idx [M,4]; weights",BF16计算,标准sglang FusedMoE router; cuBLAS/DeepGEMM _jit_dsv3_router_gemm; topk=sigmoid+routed_scaling_factor折入weights,python/sglang/srt/layers/moe/topk.py; python/sglang/jit_kernel/dsv3_router_gemm.py:65,cuBLAS/DeepGEMM + sglang topk,sgl-kernel/tests/test_moe_topk_sigmoid.py; test/registered/kernels/test_fused_topk_deepseek.py,PASS (774 case),n/a,n/a,"M3用sigmoid routing,routed_scaling_factor=2.0已折入topk_weights; 复用标准MoE无M3专属kernel"
MiniMax-M3,MiniMaxAI/MiniMax-M3-MXFP8,[op38] MoE MXFP8 GateUp/Act/Down,MoE层expert GEMM,Prefill+Decode,"E×[M_e,6144]×[6144,2*3072] MXFP8 e4m3+E8M0","E×[M_e,3072]→[M_e,6144]",MXFP8 (e4m3+E8M0 scales),★B200上不走此路径! Triton runner显式raise(不支持NV MXFP8); B200走 --moe-runner-backend deep_gemm(mega_moe)或flashinfer_trtllm/cutlass,python/sglang/srt/layers/moe/moe_runner/triton.py:114-117 (gate); triton_utils/mxfp8_moe_amd_gfx95.py:358 (ROCm实现),ROCm: Triton dot_scaled groupGEMM; B200: deep_gemm mega_moe(未映射),python/sglang/jit_kernel/tests/test_minimax_m3_mxfp8.py (ROCm),SKIP (B200上1 skipped; 此kernel仅ROCm gfx950),n/a,n/a,"★缺口3(最重要): B200 M3-MXFP8实际MoE走deep_gemm mega_moe(SGLANG_OPT_USE_DEEPGEMM_MEGA_MOE),不在op28-43映射,未测; op38仅ROCm"
