模型,架构说明,层类型,算子名称,执行阶段,算子规模,数据精度,B200实测后端,latency_us,TFLOPS,sglang入口,底层Kernel,实现类型,B200默认实现,备选实现,测试状态,备注
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,input,Token Embedding,Prefill,"ids[16384] -> [16384,7168] vocab=163840",BF16,torch.nn.Embedding,242.29,,embed_tokens,torch.nn.Embedding,PyTorch,torch.nn.Embedding (CUDA embedding kernel),无 Triton 路径,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,input,Token Embedding,Decode,"ids[16] -> [16,7168] vocab=163840",BF16,torch.nn.Embedding,55.41,,embed_tokens,torch.nn.Embedding,PyTorch,torch.nn.Embedding (CUDA embedding kernel),无 Triton 路径,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,all_layers,Input RMSNorm,Prefill,"[16384,7168]",BF16,sgl_kernel.rmsnorm,167.75,,input_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm (sgl-kernel C++/CUDA),无 Triton 路径,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,all_layers,Input RMSNorm,Decode,"[16,7168]",BF16,sgl_kernel.rmsnorm,49.41,,input_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm (sgl-kernel C++/CUDA),无 Triton 路径,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,dense_ffn,Dense FFN GateUp,Prefill,"[16384,7168]×[7168,4608]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),1044.69,1036.04,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM fp8_gemm_nt (CUDA JIT),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,dense_ffn,Dense FFN Down,Prefill,"[16384,2304]×[2304,7168]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),451.28,1199.19,mlp.down_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM fp8_gemm_nt (CUDA JIT),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,dense_ffn,Dense FFN GateUp,Decode,"[16,7168]×[7168,4608]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),56.5,18.71,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM fp8_gemm_nt (CUDA JIT),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,dense_ffn,Dense FFN Down,Decode,"[16,2304]×[2304,7168]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),52.92,9.99,mlp.down_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM fp8_gemm_nt (CUDA JIT),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,Q_a+KV_a fused,Prefill,"[16384,7168]×[7168,2112]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),436.81,1170.07,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,B200 默认: DeepGEMM / sgl_kernel.dsv3_fused_a_gemm (CUDA),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,已测,B200 补测 deep_gemm fp8_gemm_nt || sweep prefill_M[512..32768]: 58–878us (见kimi_k27_sweeps.csv)
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,Q_a+KV_a fused,Decode,"[16,7168]×[7168,2112]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),56.60,8.82,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,B200 默认: DeepGEMM / sgl_kernel.dsv3_fused_a_gemm (CUDA),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,已测,B200 补测; 备选 sgl_kernel.dsv3_fused_a_gemm bf16=54.20us || sweep decode_B[1..256]: 56–58us (见kimi_k27_sweeps.csv) || 发现: decode B1→256 平坦(~57us)，launch/带宽受限，非compute-bound(CUDA-graph计时才能测真实核时间)
